split,train_start,train_end,test_start,test_end,train_size,test_size,accuracy,precision,recall,f1
0,2020-01-01,2021-12-30,2021-12-31,2022-01-29,730,30,0.7666666666666667,0.9090909090909091,0.625,0.7407407407407407
1,2020-01-31,2022-01-29,2022-01-30,2022-02-28,730,30,0.8666666666666667,0.8823529411764706,0.8823529411764706,0.8823529411764706
2,2020-03-01,2022-02-28,2022-03-01,2022-03-30,730,30,0.7,0.7142857142857143,0.8333333333333334,0.7692307692307693
3,2020-03-31,2022-03-30,2022-03-31,2022-04-29,730,30,0.7333333333333333,0.6363636363636364,1.0,0.7777777777777778
4,2020-04-30,2022-04-29,2022-04-30,2022-05-29,730,30,0.7,0.7058823529411765,0.75,0.7272727272727273
5,2020-05-30,2022-05-29,2022-05-30,2022-06-28,730,30,0.7666666666666667,0.8636363636363636,0.8260869565217391,0.8444444444444444
6,2020-06-29,2022-06-28,2022-06-29,2022-07-28,730,30,0.7,0.6521739130434783,0.9375,0.7692307692307693
7,2020-07-29,2022-07-28,2022-07-29,2022-08-27,730,30,0.7333333333333333,0.7647058823529411,0.7647058823529411,0.7647058823529411
